journal,year,mont,title,abstract,author
Journal of the Medical Library Association : JMLA,2022,10,"Shannon D. Jones, MLS, MEd, AHIP, FMLA, Medical Library Association President, 2022-2023.","In this profile, Shannon D. Jones, MLS, MEd, AHIP, FMLA, Medical Library Association President, 2022-2023, MJ Tooey describes her as someone who ""takes chances on people, valuing those others might not see as valuable"". Jones embraces lifelong learning, and it shows up in her collegiate journey; she has been a student of leadership, a leader of institutions, especially within the Medical Library Association (MLA); and a leader in librarianship. She is a trailblazer, the second African American MLA president, and a champion of diversity, equity, inclusion, and belonging. Jones has been Director of Libraries & Professor at the Medical University of South Carolina (MUSC) for the past seven years and is also Director of Region 2 of the National Network of Libraries of Medicine, National Library of Medicine.",Bartley K
Integrative and comparative biology,2023,5,"Deficits in Accessibility Across Field Research Stations for Scientists with Disabilities And/Or Chronic Illness, And Proposed Solutions.","Equity and inclusivity in STEM research has become a larger topic of discussion in recent years, however researchers and scientists with disabilities and/or chronic illnesses are often missing from these conversations. Further, while field research is a major research component for some STEM disciplines, it is unclear what accessibility barriers or accommodations exist across the field sciences. Field research can sometimes involve harsh environments, topography, and weather, that present challenges to those with disabilities and/or chronic illnesses. A large and coinciding obstacle standing in the way of field research accessibility is the ableism present across science and academia, resulting in and from a lack of prioritization of attention and funding from universities and institutions. Biological field stations have been shown to be valuable not only as infrastructure for field-based research, but also as providing resources towards the scientific education of students and scientific outreach initiatives for the general public. As such, biological field stations are perfectly positioned to reduce barriers in research inclusion and accessibility for students and scientists with disabilities and/or chronic illnesses. The current work presents the results of a survey meant to inventory the presence or absence of accessible infrastructure across field stations, with responses spanning 6 countries and 24 USA states. Our results highlight a number of accessibility deficits, in areas such as accessible entrances, kitchens, and bathrooms. Our results suggest that (1) biological field stations have significant variability in accessibility with significant deficits especially in non-public-facing buildings used primarily by staff and researchers, and (2) field stations would benefit from an increase in federal funding opportunities to expedite their progress towards compliance with Americans with Disabilities Act (ADA) standards. We propose potential solutions to field work infrastructure spanning a range of financial costs, with emphasis on the point that efforts towards accessibility do not require an ""all or nothing"" approach, and that any step towards accessibility will make field stations more inclusive. Additionally, we further suggest that federal funding sources, such as the NSF and NIH, as well as university leadership, should consider broadening diversity initiatives to promote the continuation of, and increased accessibility of, university-affiliated field stations.",Rudzki EN
Journal of the American Pharmacists Association : JAPhA,2023,5,Compensation for Board of Pharmacy Members in the United States.,No published data exists regarding per diem pay differences between the 50 United States (U.S.) Boards of Pharmacy.,White C
JAMA otolaryngology-- head & neck surgery,2023,5,"Sponsorship in Otolaryngology-Head and Neck Surgery: A Pathway to Equity, Diversity, and Inclusion.","Sponsorship, distinct from mentorship or coaching, involves advancing the careers of individuals by nominating them for roles, increasing the visibility of their work, or facilitating opportunities. Sponsorship can open doors and enhance diversity; however, achieving desirable outcomes requires equitable approaches to cultivating potential in sponsees and promoting their success. The evidence on equitable sponsorship practices has not been critically examined, and this special communication reviews the literature, highlighting best practices.",Farlow JL
Medical teacher,2023,5,Twelve tips for implementing and teaching anti-racism curriculum in medical education.,"Racism has implicit and explicit manifestations that perpetuate disparities and negatively influence patient-centered health outcomes. Subsequently, a list of action items was provided to assist medical schools in becoming anti-racist institutions. A deep subject matter knowledge, beliefs, and reflections were a driving force for the management of medical schools or faculty members involved in undergraduate and postgraduate medical education to move forward toward inclusion of anti-racism in traditional medical curriculum or adapting existing training modules on diversity, equity, and inclusion. This paper proposes twelve practical and specific tips for implementing and teaching anti-racism in medical education. These twelve tips elaborate on the proposed actions for leaders in undergraduate and postgraduate medical education, valuable for designing future curricula and educational activities.",Racic M
Physical therapy,2023,5,Implementation of a Comprehensive Anti-Racism Plan in an Academic Physical Therapy Department: An Administrative Case Report.,"Transforming the University of Southern California health care system requires that institutions and organizations position equity, diversity, inclusion (EDI), and anti-racism central to their missions. The purpose of this administrative case report was to describe a systematic approach taken by an academic physical therapy department to develop a comprehensive antiracism plan that engages all interested and affected parties and includes processes for sustainable, long-term engagement.",Matthews ND
Journal of the National Comprehensive Cancer Network : JNCCN,2023,5,"The Value and Process of Inclusion: Using Sensitive, Respectful, and Inclusive Language and Images in NCCN Content.","A core component of NCCN's mission is to improve and facilitate equitable cancer care. Inclusion and representation of diverse populations are essential toward this goal of equity. Within NCCN's professional content, inclusivity increases the likelihood that clinicians are prepared to provide optimal oncology care to all patients; within NCCN's patient-facing content, it helps ensure that cancer information is relevant and accessible for all individuals. This article describes changes that have been made in the language and images used in the NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines) and the NCCN Guidelines for Patients to promote justice, respect, and inclusion for all patients with cancer. The goals are to use language that is person-first, nonstigmatizing, inclusive of individuals of all sexual orientations and gender identities, and anti-racist, anti-classist, anti-misogynist, anti-ageist, anti-ableist, and anti-fat-biased. NCCN also seeks to incorporate multifaceted diversity in images and illustrations. NCCN is committed to continued and expanding efforts to ensure its publications are inclusive, respectful, and trustworthy, and that they advance just, equitable, high-quality, and effective cancer care for all.",Freedman-Cass DA
Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,2023,5,"Protocol for Development of American Association of Clinical Endocrinology Clinical Practice Guidelines and Consensus Statements: Summary of Methodology, Process, and Policy - 2023 Update.","This 2023 updated protocol summarizes the American Association of Clinical Endocrinology's (AACE's) new framework for the development of clinical practice guidelines and other guidance documents that includes changes to methodology, processes, and policies.",Correa R
Nursing education perspectives,2023,5,Evaluation of Nursing Coursework for Biased Content.,"Bias-free content in nursing education prepares students to provide equitable care. The process of assessing content promotes the dismantling of systemic bias in health care, advancing social justice, diversity, equity, and inclusion. Unfortunately, there are no published studies to guide the evaluation of nursing curricula for the presence of bias. This innovative project aimed to identify bias in a course and develop a structure to guide the wider evaluation of the curriculum to identify and remove biased content. A modified version of the Upstate Bias Checklist was applied to a 15-week, three-semester hour, prelicensure, graduate-level nursing course.",Jennings SJ
Current oncology reports,2023,5,"Artificial Intelligence and Cancer Control: Toward Prioritizing Justice, Equity, Diversity, and Inclusion (JEDI) in Emerging Decision Support Technologies.","This perspective piece has two goals: first, to describe issues related to artificial intelligence-based applications for cancer control as they may impact health inequities or disparities; and second, to report on a review of systematic reviews and meta-analyses of artificial intelligence-based tools for cancer control to ascertain the extent to which discussions of justice, equity, diversity, inclusion, or health disparities manifest in syntheses of the field's best evidence.",Taber P
Academic radiology,2023,5,The Emerging Diverse Radiology Workplace: Case Studies on the Importance of Inclusion in Radiology Training Programs.,"Radiology remains one of the least diverse fields in medicine. With increasing understanding of the benefits of workforce diversity on health care outcomes, radiology society leadership and radiologists are engaging in necessary efforts to improve diversity, equity, and inclusion. To date, much of the initiatives have focused on pipeline development and recruitment strategies. Literature from organizational psychologists, human resources and business strategists suggest that incorporation of inclusion could overcome some of the persistent barriers to workforce diversity. Using case studies from real-life residency programs, we describe challenges associated with being a member of an underrepresented minority group in radiology. We illustrate concepts in inclusion, proposing concrete ideas for personal and institutional growth in this area, as a strategy for improving workforce diversity and team effectiveness.",Omofoye T
The Clinical neuropsychologist,2023,5,Fellow and training director perspectives on personal leaves during fellowship training in neuropsychology and considerations for best practice.,"Objective: Management of personal leaves represents an important component of diversity, equity, and inclusion (DEI) initiatives. This study aims to understand the ways in which both training directors and fellows in neuropsychology training programs understand, perceive, communicate about, and plan for personal leaves during fellowship training. We also aim to provide empirically based recommendations for training directors communicating with fellows about personal leaves. Method: Training directors ( N  = 40) and postdoctoral fellows ( N  = 51) were recruited to complete surveys examining their knowledge and perspectives on personal leaves through a professional listserv. Results: While most training directors reported that their programs offer paid personal leave options, a substantial minority did not. There were discrepancies between training directors' and fellows' knowledge about leave policies and perceptions of the professional implications of taking a personal leave, such that fellows reported less knowledge and a greater perception that taking a leave during training may have a negative professional impact. Conclusions: Findings suggest that training directors in neuropsychology should clearly communicate institutional leave policies early in, or even before the start of, the fellowship period and work to cultivate a culture of openness around both broad issues of work-life balance and specific issues related to personal leaves with trainees.",Shapiro DN
Journal of general internal medicine,2023,5,Values-Based Resident Selection in an Internal Medicine-Pediatrics Residency Program.,"There is no consensus regarding values important for medical resident success, and current methods for selecting residents correlate poorly with success in residency.",Drum B
Academic radiology,2023,5,"Multilevel Approach to Support Diversity, Equity and Inclusion in Radiology.","Integrating diversity into healthcare systems has its challenges and advantages. Academic medicine strives to expand the diversity of the healthcare workforce. The Association of University Radiologists (AUR) put together a task force to review the concept of Diversity, Equity and Inclusion (DEI) as it pertains to Radiology and to propose strategies for better integrating DEI in Radiology. We present several measures aimed at the trainee, leadership, management and professional society levels to empower DEI in Radiology.",Gupta S
Journal of the neurological sciences,2023,4,Incorporating health equity in the neurology curriculum: Our experience.,"Social determinants of health (SDoH) are responsible for 80-90% of modifiable contributors to health, yet this material may not be covered in preclinical medical school neuroscience courses.",Kaplan TB
AMIA ... Annual Symposium proceedings. AMIA Symposium,2023,4,"Developing and Evaluating a Diversity, Equity, and Inclusion Storytelling Model in Data Courses in an Academic Electronic Health Record.","Meaningful use of data generated from electronic health records (EHRs) exerts influential impacts on every aspect of healthcare to facilitate clinically intelligent decision-making and improve healthcare outcomes. As nurses are called to chart a path of equity in healthcare, there presents a growing need of incorporating diversity, equity, inclusion (DEI) perspectives into data courses generated from academic EHRs in academic informatics education. This paper describes the development of a DEI data standard model and the evaluation of data courses residing within an academic EHR platform using a cognitive walkthrough method. Data points selected for learning activities in the evaluated data courses appeared to be predominantly clinically driven and lack DEI-informed data features. To facilitate DEI-informed graduate health informatics education and the seamless transfer of health professional students to workforces, data courses built within academic EHRs should integrate DEI-informed data measures and thinking in course curriculum design and development.",Gao G
The Journal of surgical research,2023,4,"Analysis of Racial and Gender Distribution of US-Doctor of Medicines Graduates Entering Into General Surgery and Surgical Subspecialties' Residencies: The Need for Effective & Sustainable Diversity, Equity, and Inclusion Strategies.","We aim to investigate disparities & inequities based on race, sex, graduating age, and the number of peer-reviewed publications among allopathic U.S. Doctor of Medicine graduates who reported entering a surgical training program over a span of 5 y.",Elkbuli A
Seminars in cardiothoracic and vascular anesthesia,2023,4,The Year in Review: Anesthesia for Congenital Heart Disease 2022.,"This review focuses on the literature published during the calendar year 2022 that is of interest to anesthesiologists taking care of children and adults with congenital heart disease (CHD). Four major themes are discussed: enhanced recovery after surgery(ERAS); diversity, equity, and inclusion; the state of pediatric cardiac anesthesiology as a subspecialty in the United States; and neuromonitoring for pediatric cardiac surgery.",Goodmanson MM
Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists,2023,4,Foundational Curriculum and Core Guidelines for Training in Latinx/a/o-Hispanic Cultural Neuropsychology Across the Lifespan.,"The training competency of individual and cultural diversity is an advanced, fundamental competency to health service psychology since 2015. However, there is minimal instruction on how to integrate it into training curricula in neuropsychology, especially at the postdoctoral fellowship level. Our objective was to operationalize the individual and cultural diversity standard to provide a tangible application for educational programs on how to develop a competency-based training model for Latinx/a/o-Hispanic (L/H) cultural neuropsychology across the lifespan.",MacDonald B
Kansas journal of medicine,2023,4,Addressing Burnout Among Women Residents: Results from Focus Group Discussions.,"Physician burnout has been described as more common among women than men. Even if there are no gender-based differences in prevalence, risk factors, such as work/home integration/conflict and gendered biases, likely differ. Prior administrations of an annual resident wellness survey at a single urban academic institution confirmed that rates of burnout were higher among women, especially during the PGY-2 year.",Norvell J
Pigment cell & melanoma research,2023,4,"Diversity, equity, and inclusion in the melanoma research community.","The inaugural Diversity and Inclusion in Science Session was held during the 2021 Society for Melanoma Research (SMR) congress. The goal of the session was to discuss diversity, equity, and inclusion in the melanoma research community and strategies to promote the advancement of underrepresented melanoma researchers. An international survey was conducted to assess the diversity, equity, and inclusion (DEI) climate among researchers and clinicians within the Society for Melanoma Research (SMR). The findings suggest there are feelings and experiences of inequity, bias, and harassment within the melanoma community that correlate with one's gender, ethnic/racial group, and/or geographic location. Notably, significant reports of inequity in opportunity, discrimination, and sexual harassment demonstrate there is much work remaining to ensure all scientists in our community experience an academic workplace culture built on mutual respect, fair access, inclusion, and equitable opportunity.",Portuallo ME
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,2023,4,"Quantifying Faculty Perception of Diversity, Equity, and Inclusion Within Academic Otolaryngology-Head and Neck Surgery Departments.","Investigating faculty perceptions of diversity, equity, and inclusion (DEI) among academic otolaryngology programs.",Renslo B
Brain stimulation,2023,4,"Toward more diverse, inclusive, and equitable neuromodulation.","Racial and ethnic disparities exist for many nervous system disorders that are intervention targets for neuromodulation investigators. Yet, to date, there has been both a lack of racial and ethnic diversity and a lack of emphasis on diversity in neuromodulation research. In this paper, we suggest three potential reasons for the lack of racial and ethnic diversity in neuromodulation research: 1) the lack of diversity in the neuromodulation workforce, 2) incompatibility between the technologies employed and phenotypic traits (e.g., hair texture) commonly present in minoritized populations, and 3) minoritized populations' reluctance to participate in clinical trials. We argue that increasing diversity in the neuromodulation workforce, in conjunction with mutual collaboration between current neuromodulation researchers and underrepresented communities in neuromodulation, can aid in removing barriers to diversity, equity, and inclusion in neuromodulation research. This is important, because greater diversity, equity, and inclusion in neuromodulation research brings with it the development of novel, yet safe and effective, treatment approaches for brain disorders and enhances the rigor and generalizability of discoveries in the field.",Peebles IS
Trends in cell biology,2023,4,Reimagining journal clubs for inclusive scientific training.,"'Canonical' journal clubs, which rely on a presenter guiding a group through the figures of a scientific article, do not fully realize their training potential. We provide a blueprint and resources for effectively leveraging journal clubs to meet specific training objectives and to further equity, diversity, inclusion, and belonging goals.",Tan TM
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,2023,4,"2022 Consensus Conference on Diversity, Equity, and Inclusion Developing an Emergency Medicine Research Agenda for Addressing Racism Through Healthcare Research.","Racism in emergency medicine healthcare research is pervasive but often underrecognized. In order to understand the current state of research on racism in emergency medicine healthcare research, we developed a consensus working group on this topic, which concluded a year of work with a consensus-building session as part of the overall Society for Academic Emergency Medicine (SAEM) Consensus Conference on Diversity, Equity, and Inclusion: ""Developing a Research Agenda for Addressing Racism in Emergency Medicine,"" held on May 10, 2022. In this manuscript, we report the development, details of pre-conference methods and preliminary results, and the final consensus of the Healthcare Research Working Group. Preconference work based on literature review and expert opinion identified 13 potential priority research questions that were refined through an iterative process to a list of 10. During the conference, the subgroup used consensus methodology and a ""consensus dollar"" (contingent valuation) approach to prioritize research questions. The subgroup identified three research gaps: remedies for racial bias and systematic racism, biases and heuristics in clinical care, and racism in study design, and we derived a list of six high-priority research questions for our specialty.",Davis J
Journal of the American Medical Informatics Association : JAMIA,2023,4,Racism and Electronic Health Records (EHRs): Perspectives for research and practice.,"Informatics researchers and practitioners have started exploring racism related to the implementation and use of electronic health records (EHRs). While this work has begun to expose structural racism which is a fundamental driver of racial and ethnic disparities, there is a lack of inclusion of concepts of racism in this work. This perspective provides a classification of racism at 3 levels-individual, organizational, and structural-and offers recommendations for future research, practice, and policy. Our recommendations include the need to capture and use structural measures of social determinants of health to address structural racism, intersectionality as a theoretical framework for research, structural competency training, research on the role of prejudice and stereotyping in stigmatizing documentation in EHRs, and actions to increase the diversity of private sector informatics workforce and participation of minority scholars in specialty groups. Informaticians have an ethical and moral obligation to address racism, and private and public sector organizations have a transformative role in addressing equity and racism associated with EHR implementation and use.",Emani S
Journal of medical Internet research,2023,4,How Older Indigenous Women Living in High-Income Countries Use Digital Health Technology: Systematic Review.,"Research associated with digital health technologies similar to the technologies themselves has proliferated in the last 2 decades. There are calls for these technologies to provide cost-effective health care for underserved populations. However, the research community has also underserved many of these populations. Older Indigenous women are one such segment of the population.",Henson C
Management decision,2023,4,"Developing scientifically validated bias and diversity trainings that work: empowering agents of change to reduce bias, create inclusion, and promote equity.","Research consistently shows that non-scientific bias, equity, and diversity trainings do not work, and often make bias and diversity problems worse. Despite these widespread failures, there is considerable reason for hope that effective, meaningful DEI efforts can be developed. One approach in particular, the bias habit-breaking training, has 15 years of experimental evidence demonstrating its widespread effectiveness and efficacy.",Cox WTL
Current problems in cancer,2023,4,"Diversity, equity, and inclusion in genitourinary clinical trials leading to FDA novel drug approval: An assessment of the FDA center for drug evaluation and research drug trials snapshot.","To determine the distribution of race and ethnicity among genitourinary oncology trial participants leading to FDA approval of novel molecular entities/biologics. Secondarily, we evaluated whether the proportion of Black participants in clinical trials increased over time. We quired the FDA Center for Drug Evaluation and Research Drug Trials Snapshot (DTS) between 2015 and 2020 for urologic oncology clinical trials leading to FDA approval of novel drugs. Enrollment data was stratified by race and ethnicity. Cochran-Armitage Trend tests were used to examine changes in Black patient participation over years. Nine clinical trials were identified that led to FDA approval of 5 novel molecular entities for prostate and 4 molecular entities for urothelial carcinoma treatment. Trials for prostate cancer included 5202 participants of which 69.8% were White, 4.0% Black, 11.0% Asian, 3.6% Hispanic, <1% American Indian/Alaska Native or Native Hawaiian/Pacific Islander, 3% other. Trials in urothelial carcinoma had 704 participants of which 75.1% were male, 80.8% White, 2.3% Black, 2.4% Hispanic, <1% American Indian/Alaska Native or Native Hawaiian/Pacific Islander, 5% other. Black participation rates over time did not change for urothelial (P = 0.59) or the combined cancer cohort (P = 0.29). Prostate cancer enrollment trends among Black participant declined over time (P = 0.03). Participants in genitourinary clinical trials leading to FDA approval of novel drugs are overwhelmingly white. Involving stakeholders who represent the needs and interests of underrepresented populations in the design and implementation of clinical trials of novel agents may be a strategy to increase diversity, equity, and inclusion among genitourinary clinical trials.",Matthew-Onabanjo AN
PeerJ,2023,4,Overcoming the gender bias in ecology and evolution: is the double-anonymized peer review an effective pathway over time?,"Male researchers dominate scientific production in science, technology, engineering, and mathematics (STEM). However, potential mechanisms to avoid this gender imbalance remain poorly explored in STEM, including ecology and evolution areas. In the last decades, changes in the peer-review process towards double-anonymized (DA) have increased among ecology and evolution (EcoEvo) journals. Using comprehensive data on articles from 18 selected EcoEvo journals with an impact factor >1, we tested the effect of the DA peer-review process in female-leading ( i.e ., first and senior authors) articles. We tested whether the representation of female-leading authors differs between double and single-anonymized (SA) peer-reviewed journals. Also, we tested if the adoption of the DA by previous SA journals has increased the representativeness of female-leading authors over time. We found that publications led by female authors did not differ between DA and SA journals. Moreover, female-leading articles did not increase after changes from SA to DA peer-review. Tackling female underrepresentation in science is a complex task requiring many interventions. Still, our results highlight that adopting the DA peer-review system alone could be insufficient in fostering gender equality in EcoEvo scientific publications. Ecologists and evolutionists understand how diversity is important to ecosystems' resilience in facing environmental changes. The question remaining is: why is it so difficult to promote and keep this ""diversity"" in addition to equity and inclusion in the academic environment? We thus argue that all scientists, mentors, and research centers must be engaged in promoting solutions to gender bias by fostering diversity, inclusion, and affirmative measures.",Cássia-Silva C
Postgraduate medical journal,2023,4,Grit: what is it and why does it matter in medicine?,"Grit refers to the combination of passion and perseverance for long-term goals. Grit has emerged as a recent topic of interest within the medical community. With ever-increasing rates of burnout and psychological distress, increasing attention has been directed towards modulatory or protective factors for these deleterious outcomes. Grit has been studied in regard to a variety of outcomes and variables in medicine. This article reviews the current literature on grit in medicine and summarises the current research on grit and performance metrics, personality characteristics, longitudinal progression, psychological well-being, diversity, equity and inclusion, burnout and residency attrition. While there is inconclusive evidence on the influence of grit on performance metrics in medicine, research consistently demonstrates a positive correlation between grit and psychological well-being and a negative correlation between grit and burnout. After discussing some of the inherent limitations of this type of research, this article suggests some possible implications and future areas for research and their potential role in cultivating psychologically healthy physicians and promoting successful careers in medicine.",Lee DH
