journal,year,month,title,abstract,author,author1,affiliation
Independent School,2021,1,A SEAT AT THE TABLE.,"The article focuses on measures to be taken by schools to be more inclusive by understanding the needs of students and building an inclusion budget, as of January 2021. It emphasizes on the prioritization of financial aid and diversity, equity and inclusion (DEI) health offices by schools. It also offers suggestions to schools on diversity in curriculum, equity in terms of educational programs and social support to students for inclusion.","BALAVEN, KALYAN",,"Director of teaching and learning at The Athenian School in Danville, California"
American Journal of Pharmaceutical Education,2023,4,"Review of Best Practices for Diversity, Equity, and Inclusion Committees Within Colleges of Pharmacy.","Objective. To provide a review of best practices for diversity, equity, and inclusion (DEI) committees at United States colleges of pharmacy. Findings. In colleges of pharmacy, DEI committees can play a crucial role in promoting a culture change to ensure pharmacy graduates are equipped to provide equitable and representative care for the patients they serve. There is limited literature available on DEI committee composition, roles, and responsibilities, and their place within a college of pharmacy’s organizational structure. A commitment to DEI should be part of the college’s strategic plan and embedded and supported at all levels of the college and university to ensure success of DEI-related strategic initiatives. For a DEI committee to be effective, its composition should be intentional to include change agents, campus leaders, and members who are passionate and knowledgeable to execute the DEI goals. For sustainable change, involvement of the entire learning community and an organizational culture change is also important. Thus, DEI committees need to establish active bidirectional collaborations and communication with all key committees, offices, community leaders, and alumni to implement diversity goals. Summary. The DEI committee’s established place in the organizational structure of the college is essential to ensure fair and appropriate representation of the community it serves. A clearly defined DEI committee with committee composition, roles, responsibilities, and its association with all constituents of the college and community can help achieve its intended strategic goals.","Kolluru, Srikanth","Wanat, Matthew A.","KGI School of Pharmacy and Health Sciences, Claremont, California."
American Journal of Pharmaceutical Education,2023,4,"An Exploratory Study of Arab American Pharmacy Educators' Work Experience with Diversity, Equity, and Inclusion.","Objective. To explore the experience of members of Arab American Pharmacy Educators (AAPE) regarding diversity, equity, and inclusion in their workplace. Methods. A cross-sectional questionnaire was distributed electronically to 51 AAPE members. Eligible participants were those who identify with Arab heritage and have worked at US schools or colleges of pharmacy. Following the initial invitation, three reminders were sent to complete the questionnaire. Results. A total of 31 (61% response rate) AAPE members completed the questionnaire. The majority of participants reported an overall positive academic experience. However, some participants reported being subject to negative stereotypes and discrimination, which may have hindered their ability to teach, practice, conduct research, and fully engage in service to their schools or colleges, profession, and community. Conclusion. Some AAPE members reported negative stereotypes and discrimination at US schools or colleges of pharmacy. Findings from this study can have implications for faculty representing different minority groups, especially for those pharmacy educators who are not of Western European descent and anyone who is perceived as the ""other."".","Alsharif, Naser Z.","Chahine, Elias B.","Creighton University, School of Pharmacy and Health Professions, Omaha, Nebraska"
Diverse: Issues in Higher Education,2020,9,A Mission of Inclusion.,"The article focuses on the efforts of Dr. Tayo Clyburn, dean for diversity, equity and inclusion at Colby College in Waterville, Maine, to lead in areas of diversity, equity and inclusion. He was able to build relationships with university stakeholders and partners while working as director in The Ohio State University's Office of Diversity and Inclusion. He is also planning to combine the many separate diversity initiatives that already exist.","Wood, Sarah",,
Urban Library Journal,2019,1,"Keeping the Equity, Inclusion, and Diversity Conversations Going.","This article focuses on the challenges and successes Stony Brook University Libraries' Equity, Inclusion, and Diversity Committee encountered from its inception in 2017 to the present. The formation of this committee was in response to a new university-wide program. A pool of more than 80 library personnel made quick and thoughtful decisions to determine the composition of the Committee. In the months that followed, members learned to navigate the challenges of goal setting, collaborating with others outside the library, funding, event planning, and marketing. One of the primary goals of the Committee was to initiate and maintain conversations and collaborations around equity, inclusion, and diversity. Efforts included the celebration of Native American heritage and culture, women's history, hip-hop history, and others. Another goal was to produce a meaningful and relevant mission to serve as a guide for our fledgling committee. The committee's efforts were inclusive of the communities both outside and inside of the library's sphere. Efforts were made to increase awareness and sensitivity among our library personnel via lectures, self-reflection workshops, and discussions. Further, committee members' attendance and participation at conferences and webinars provided many opportunities to engage in discussions with others who have started similar committees at their libraries.","Ramonetti, Mona","Pilato, Victoria",
Music Educators Journal,2023,3,"Music Teachers' Experiences with Implementing Diversity, Equity, and Inclusion.","This article describes music educators' conceptions of diversity, equity, and inclusion (DEI). We collaborated with six music teachers to consider ways in which DEI is conceptualized and practiced in their own teaching settings. The teachers were carefully selected to encompass a multitude of identities, including race, ethnicity, gender, sexuality, location, class, ability, teaching setting, musical background, and teaching experience. Through our conversations, we learned how these teachers locate their identities through their own narratives and how these social constructions converge in their work through pedagogical and curricular strategies. It is our hope that their insights might start a conversation about the current state of DEI work being approached in music education and provide suggestions for more diverse, equitable, and inclusive practices and policies in music classrooms.","Bernard, Cara","Talbot, Brent C.",
American Journal of Pharmaceutical Education,2023,3,"Taking Action Towards Equity, Diversity, and Inclusion in the Pharmacy Curriculum and Continuing Professional Development.","Increased awareness of social injustices and inequities highlight the relevance and importance of diversity, equity, inclusion, and accessibility (DEIA) in health care. Former and recent graduates of pharmacy schools remain deficient in their knowledge of DEIA topics such as unconscious bias, which can directly influence health outcomes in an undesirable manner. Particular DEIA areas that are pertinent to pharmacy practice include: race, gender, sexual orientation, gender identity, ability status, religion, socioeconomic status, and political beliefs. The American Association of Colleges of Pharmacy (AACP) affirmed its commitment to DEIA as a priority. However, existing gaps in knowledge of pharmacy graduates in this area have the potential to contribute to health disparities and inequities, which are significant public health issues. We call on academic pharmacy institutions and professional pharmacy organizations to elevate DEIA topics and to designate them as essential to both addressing health equity and improving care for underserved populations. We also implore licensing boards to require continuing education related to DEIA as a foundational step to closing the knowledge gap for pharmacists in this area.","Arif, Sally A.","Butler, Lakesha M.","Midwestern University, College of Pharmacy, Rush University Medical Center, Downers Grove, Illinois"
Journal of Natural & Applied Sciences,2018,9,"Inclusive Education and the ""Balkanization"" Professionalization of the Specialized Field of Studies in Special Education Postgraduate Programs: The Case of Sweden.","This short paper has two pronged purposes. The first is to reflect on policies and practices of inclusive education in Sweden and the second is to problematize the implications of the continuous proliferation of the specialized field of studies in Special Education postgraduate programs in Sweden. The current Swedish political and educational discourses reflect contradictions and dilemmas among varied dimensions of the educational arena. Policy and practice decisions involve dilemmas. Sweden may be characterized by an embodiment of a strong philosophy of universalism, equal entitlements of citizenship, comprehensiveness, and solidarity as an instrument to promote social inclusion and equality of resources. Within the past decades, however, the country has undergone a dramatic transformation. The changes are framed within neo-liberal philosophies such as devolution, market solutions, competition, effectivity, and standardization, coupled with a proliferation of individual/parent choices for independent schools, all of which potentially work against the valuing of diversity, equity and inclusion (Berhanu, 2011, 2016). The second concern of this paper is: Does the current specialization or diversified form of studies within Special Education postgraduate programs (Teacher Training Programs) support the inclusive agenda, or does it hamper the vision? In addition, recent developments to create new categories or subcategories of special education have the potential not only to tie up administrative and diagnostic resources but also to create an increasingly less manageable array of separate special education programs. This Balkanization process with regard to a number of select disorders has advantages and disadvantages. My concern is that the very existence of ""highly specialized knowledge domains"" may result in a new form of exclusion and segregation. This is a scenario that one can imagine or expect with the proliferation or balkanization of specialized studies in numerous strands unless we plan carefully as to how to utilize these skills and expertise within inclusive settings.","Berhanu, Girma",,"Department of Education University of Gothenburg Box 300, SE 405 30 Göteborg, Sweden"
Nursing Economic$,2023,3,"Gaining Insight into Member Demographics and Perceptions of Diversity, Equity, and Inclusion Initiatives in a Professional Organization (AAACN).","The American Academy of Ambulatory Care Nursing (AAACN) Board of Directors appointed the Diversity, Equity, and Inclusion (DEI) Task Force, and charged them with engaging the AAACN membership in a larger DEI conversation and creating a safe space for open discussion and education. The task force administered a survey to give voice to and gain understanding of the current state of member demographics and opinions on the topic of DEI. The survey was developed using an evidence-based approach to collecting diversity information in a nonconfrontational, open, and honest way. Using results of the survey, the task force has taken steps to build an initial platform for DEI dialogue and education.","Regis, Kim","Phan, Quyen","Vice President of Operations/Chief Nurse Executive of Ambulatory, Nationwide Children's Hospital, Columbus, OH"
Information Technology & Libraries,2021,12,"Diversity, Equity & Inclusion Statements on Academic Library Websites.","Post-secondary education in the 21st century United States is rapidly diversifying, and institutions' online offerings and presence are increasingly significant. Academic libraries have an established history of offering virtual services and providing online resources for students, faculty, staff, and the general public. In addition to these services and resources, information on academic library websites can contribute to an institution's demonstration of value placed on diversity, equity, and inclusion (DEI). This article analyzes the DEI statements of a library consortium's member websites to explore how these statements contribute to institutional construction of, and commitment to, diversity, equity, and inclusion. Descriptive analysis revealed 12 of 16 member libraries had explicitly labeled DEI statements in November 2020, with an additional member updating their website to include such a statement in early 2021. Content analysis examined how the existing statements contributed to institutional value of and commitment to DEI, and multi-modal theory explored the communicative aspects of DEI statement content. Analysis revealed vague conceptualizations of diversity and library-centered language in DEI statements, while a subset of statements employed anti-racist and social justice language to position the library as an active agent for social change. Implications and avenues for future research are discussed.","Ely, Eric",,"Information School, University of Wisconsin-Madison"
European Journal of Special Needs Education,2005,2,"Equity, excellence and diversity in a rural secondary school in Spain: 'Integration is very nice, but ...'","This paper addresses the intersection between the inclusion of students with special needs and those with cultural/linguistic differences. Using data from a qualitative study in a rural secondary school in Spain, the author found that school personnel effectively distinguished between cultural needs and cognitive deficits. However, a one-way model of assimilation, a knowledge transmission model of pedagogy and the retention of the traditional canon as the goal of secondary learning defeated the school's efforts to implement inclusion for both groups of students in particular, Moroccan immigrants. This mismatch resulted in professional role conflicts and frustration. Spain's changing education legislation provides the context for the study.","Harry, Beth",,"Department of Teaching and Learning, School of Education, University of Miami, Merrick Building, Room 312, PO Box 248065, Coral Gables, FL 33124-2040, USA"
Herpetological Review,2023,3,"The History of SSAR's Diversity, Equity, and Inclusion Committee.",,"DEITLOFF, JENNIFER M.","ESPINOZA, ROBERT E.","Department of Biological Sciences, Lock Haven University, Lock Haven, Pennsylvania 17745, USA"
AUANews,2023,4,"Celebrating Diversity With the AUA: Updates on Diversity, Equity, and Inclusion Efforts From the Society of Urodynamics, Female Pelvic Medicine & Urogenital Reconstruction.",,"Rodriguez, Larissa V.","Beck, Traci P.","Weill Cornell Medical Center, New York, New York"
AUANews,2023,4,"R. Frank Jones Urological Society Updates on Diversity, Equity, and Inclusion Efforts.",,"McIntire, Linda L.",,"MyMichigan Health, Midland"
Journal of Sport Management,2023,1,"""It's Like Being on an Island by Yourself"": Diversity, Equity, and Inclusion Administrators' Perceptions of Barriers to Diversity, Equity, and Inclusion Work in Intercollegiate Athletics.","The emergence of diversity, equity, and inclusion (DEI) professionals (i.e., staff with DEI-specific responsibilities) is a fairly recent phenomenon, and research to date has rarely examined the experiences of these DEI administrators despite the fact they are often solely charged with driving DEI within and beyond their department. Utilizing Ahmed's diversity work framework, this study draws from semistructured interviews with 23 athletic administrators to identify barriers to efforts for driving DEI action in the context of intercollegiate athletics. Five higher-order themes were identified in the data, representing barriers to effective DEI work: (a) structural barriers, (b) cultural barriers, (c) conceptual barriers, (d) emotional barriers, and (e) social/relational barriers. Findings indicate that DEI athletics professionals perceive barriers on multiple levels, from personal levels (emotional and social/relational barriers) to those of a systemic nature (structural, cultural, and conceptual barriers). Limitations, directions for future research, and implications for praxis are discussed.","Kluch, Yannick","Wright-Mair, Raquel","Center for Sport Leadership, Virginia Commonwealth University, Richmond, VA, USA"
PLoS Biology,2022,12,"Members of the majority need to actively promote diversity, equity, inclusion, and belonging.","The responsibility for promoting diversity, equity, inclusion, and belonging (DEIB) too often falls on scientists from minority groups. Here, I provide a list of potential strategies that members of the majority can easily do to step up and get involved in DEIB. Interesting in including diversity, equity, inclusion and belonging in your lab but not sure how to start? This Perspective speaks to everyone, including those in the ""majority"", about how to get involved.","Smith, Cody J.",,"Department of Biological Sciences, University of Notre Dame, Notre Dame, Indiana, United States of America"
Pathogens & Disease,2022,1,The role of mentoring in promoting diversity equity and inclusion in STEM Education and Research.,"The success of mentoring derives from active and respectful listening and the willingness to learn and accept opportunities for personal growth. This shapes every trainee and their destined path in science, technology, engineering, and mathematics (STEM). The act of cultivating rapport, asking, and pondering meaningful questions, and receiving constructive feedback are critical to support a productive mentoring relationship. Successful mentoring in STEM can be established and allow mentees, especially underrepresented minorities (URMs), to flourish in an environment where they feel welcomed and supported. However, mentees from underrepresented groups often experience inadequate mentoring due to a mentor's lack of awareness, poor trainings themselves, or lack of understanding of the mentee's hardships. It is important for mentors and mentees to work together to promote diversity, equity, and inclusion (DEI) in STEM education through creativity, authenticity, and networking. We analyzed data obtained from students who attended a recent workshop that are interested in going to graduate school. Our results show that despite low initial expectations for the workshop, many students were satisfied in the knowledge they gleaned. The future and role of diversity in STEM within these underrepresented groups lies in community support and an important role that they can play in the lives of others through DEI initiatives and throughout their careers all of which involves positive mentoring.","Marshall, Andrea G","Vue, Zer","Department of Molecular Physiology and Biophysics, Vanderbilt University , Nashville, TN 37232, United States"
AUANews,2023,4,"Diversity, Equity, and Inclusion by Race in Urological Malignancy Clinical Trials, 2012-2022.",,"Drobner, Jake",,"Rutgers Robert Wood Johnson Medical School, New Brunswick, New Jersey"
Public Integrity,2022,11,"Reengineering Diversity, Equity, and Inclusion Discourse in Public Administration: Asian Americans as a Missing Piece of the Puzzle.","Each of the six research articles addresses important issues and areas that contribute to advancing the inclusion of Asian Americans in the DEI discourse in public administration discipline and practice. As society and its needs became diverse, the issues of diversity, equity, and inclusion (DEI) have been an increasingly important topic to public administration scholars and practitioners alike (Carrizales & Gaynor, [3]; Sabharwal et al., [18]). The special issue starts with a research article, ""A Primer on Asian Americans and Asian American Studies for Public Administration"", written by C. Aujean Lee and Aarika Forney.","Yeo, Jungwon","Jeon, So Hee",University of Central Florida
Journal of the Medical Library Association,2022,10,"Identifying diversity, equity, and inclusion enhancement opportunities through an online mixed methods library survey.","Objective: A mixed methods survey was conducted at a health sciences library to assess patrons' perceptions of the library's digital and physical environments in relation to diversity, equity, and inclusion (DEI). Methods: Developed by the library's DEI Team and preceded by a pilot assessment, the survey posed 17 Likert Scale questions and 2 free-text response questions on the topics of belonging, inclusivity, equitability, emotional and physical safety, and commitment to DEI. The survey was created in Qualtrics, pilot tested, and launched in February 2020 for approximately 12 weeks. Results: Objective question responses were received from 101 individuals, with 24 open-ended responses. The quantitative findings showed largely positive perceptions of the DEI climate. Questions about feeling welcome and feeling physically safe were among those with the highest responses. The three lower-scoring questions indicate areas for improvement, including services for people whose native language is not English, for individuals with disabilities, and for families. The qualitative findings indicate the library's strengths include its exhibitions, welcoming atmosphere, and LGBTQ+ inclusivity initiatives. In contrast, opportunities for enhancement encompass non-English language resources, website updates, and accessibility to some physical spaces. Conclusion: The DEI Team is using the online survey data to enhance library services, staffing, programming, policies, and spaces. These improvements include looking into providing a space for patrons with families, expanding services for individuals whose first language is not English, assessing library accessibility for people with physical disabilities, and enhancing the physical space with quiet areas, improved lighting, and meditation spaces. Employee DEI training is ongoing, using results from a training needs survey to identify knowledge gaps. The library has a history of successful partnerships with campus entities, which will help the DEI Team to move forward with their work.","Morgan-Daniel, Jane","Norton, Hannah F.","Community Engagement and Health Literacy Librarian, University of Florida Health Science Center Libraries, Gainesville, FL"
AMWA Journal: American Medical Writers Association Journal,2022,9,"SOCIAL MEDIA. Diversity, Equity, and Inclusion Embraces Accessibility.","According to the Centers for Disease Control and Prevention, about 1 in 4 Americans have a disability.1 As the population ages, there is an increased need for technology and accessibility (equal access), including Web accessibility. Accessibility is often defined in terms of 2 distinct measures: compliance with standards and usability for people with disabilities. The most common accessibility guidelines are the Web Content Accessibility Guidelines (WCAG) 2.0/2.1 and the Section 508 of the Rehabilitation Act. They are written to support the accessibility of HTML content. According to the W3C Web Accessibility Initiative, ""Web accessibility means that websites, tools, and technologies are designed and developed so that people with disabilities can use them."" 2 Business owners, medical writers, technical editors, social media managers, Web designers, and information technology administrators play a critical role in ensuring a better Web experience for all of us. In this article, we share practical ideas for you to show your commitment to diversity, equity, and inclusion with changes you can make to your website and content today. Accessibility solutions, such as using image alternative text, camel case in hashtags, white space around headings, margins, indentations, and columns, and strategically using fonts and color contrasting, are a few of many effective ways to provide accessible content to a larger audience. We also share other ways to address accessibility with creative strategies, such as podcasting. For medical communicators, strategies in communication, such as descriptive language and the use of storytelling techniques, are vital to ensuring your audience has a clear understanding of the message.","Colston, Dean","Fein, Rebecca","Flock of Scientists, LLC, Phoenix, AZ"
Diverse: Issues in Higher Education,2020,5,"Are We Really Serious About Diversity, Equity and Inclusion?","The article focuses on increasing diversity, equity and inclusion within higher education in California. It mentions that colleges and universities need to move beyond statements of support for diversity, equity and inclusion to implement policies, make data-informed decisions and take bold actions that advance the cause of social justice on campuses. It also informs on increasing leadership in American higher education.","BOGGS, GEORGE R.",,
Educational Leadership,2022,6,How to Make Your School Psychologically SAFE: Four critical steps for nurturing the seeds of inclusivity in school communities.,"The article discusses about how to make schools psychologically safe and includes four critical steps for nurturing the seeds of inclusivity in school communities: planting seeds of trust, planting seeds of compassionate communication, planting Seeds of learning about diversity and equity and repairing frayed relationships. Also gives an overview of what an inclusive community means which includes giving respect to all its citizens, and promotes equal treatment and opportunity.","Creekmore, Nita","Creekmore, Michael",
Journal of Occupational & Environmental Medicine,2023,3,"A Cross-Sectional Descriptive Analysis of Diversity, Equity, and Inclusion Presence Among United States Occupational and Environmental Medicine Residency Program Websites.","To address occupational health disparities, it is imperative that OEM residency programs promote diversity, equity, and inclusion to ensure that the OEM physician workforce is reflective of the diverse working populations they serve. Objective: To evaluate the presence of diversity, equity, and inclusion (DEI) among US occupational and environmental medicine (OEM) residency program websites. Methods: In January to February 2022, two independent reviewers evaluated the websites of all 24 US accredited OEM residency programs and documented the presence of 10 predetermined DEI metrics and resident/faculty photographs and biographies. Results: Program websites included a median of 1 (0–3) DEI element with 46% of websites containing none of the DEI metrics. Faculty photographs and biographies were included in 83% and 75% of websites, respectively. Resident photographs and biographies were included in 50% and 25% of websites, respectively. Conclusions: Many OEM residency program websites lack DEI presence. Programs should consider presenting information relevant to DEI on their websites to help attract more diverse applicant pools.","Chaudhry, Zaira S.","Widarma, Crystal","From the Loma Linda University Medical Center, Occupational Medicine Center, San Bernardino, California (Dr Chaudhry, Ms Widarma, Dr Cadet, Dr Sharip)"
Human Communication Research,2023,4,"La inclusión relacional: examining neoliberal tensions, relational opportunities, and fixed understandings in diversity, equity, and inclusion work in the Global South.","This study explored efforts of staff, faculty, and students at a Colombian university to materialize diversity, inclusion, and equity (DEI) programs in its institutional practices. Using Communicative Constitution of Organization (CCO) as an informing paradigm, this study proposed to understand institutional DEI as interconnected communicative practices of relational ontology. In addition, this study constituted an effort to recognize novel contours that delink knowledge from hegemonic North Atlantic and Eurocentric paradigms and interrogate epistemologies ""embedded in capitalist networks of power"" (Dutta & Pal, 2020).Through ethnographic work and in-depth interviews with 23 organizational members, this qualitative study unearthed two tension-laden themes that described (a) the (dis)ordering nature of DEI meanings and (b) the sociality/materiality entanglement of DEI efforts at a Colombia institution of higher education. Combined, our results highlight an inseparable interplay of sociomaterial discourses in DEI and the imperative need to question and contest transnational discourses from North Atlantic and Eurocentric contexts.","Villamil, Astrid M","Mendoza, Pilar","Department of Communication, University of Missouri–Columbia , Columbia, MO 65211, USA"
Change,2023,1,Culture Change Requires Personal and Organizational Changes: Lessons from the Shared Equity Leadership Model.,"This article presents a model of shared equity leadership that helps transform campus cultures so that students, faculty, staff, and administrators from all backgrounds experience greater inclusion and ameliorates equity gaps. The key to success is the combination of personal- and organizational-level changes that create a critical mass of employees dedicated to the work of diversity, equity, and inclusion. The findings also showed that each faculty, staff and administrator must first turn inwards and do their own personal work in order to then turn outwards to transform their institutions. Organizational-level changes (such as hiring diverse leaders, revising reward and incentive structures, and expanding accountability systems to include a focus on DEI) were simultaneously enacted as campus change agents worked on their personal journeys.","Kezar, Adrianna","Holcombe, Elizabeth",
Nursing Management,2023,5,"Diversity, equity, inclusion, and belonging: A role for us all.","To truly transform healthcare organizations to improve access and embrace diversity, equity, inclusion, and belonging, much work must be done. This article provides recommendations for moving forward as partners and allies in these efforts.","Foster-Smith, Rhonda R.","Mitchell, Nicole",
Social & Personality Psychology Compass,2022,5,"Understanding advantaged groups' opposition to diversity, equity, and inclusion (DEI) policies: The role of perceived threat.","To combat social inequality, organizations develop and implement initiatives that seek to improve the status of disadvantaged groups (e.g., women, racial/ethnic minority groups). Such diversity, equity, and inclusion (DEI) policies are controversial, because people disagree about whether they are necessary and what their (positive and negative) consequences may be. Opposition can be particularly fierce from people who belong to advantaged groups that benefit from the status quo (e.g., men, racial/ethnic majority groups). Given the power wielded by advantaged groups, their opposition can undermine the successful implementation of DEI policies, thus resulting in continued inequality, wasted resources, and potential for tension in the organization. In this paper, I draw on theory and research to consider three types of threat that can explain advantaged groups' opposition to DEI policies: (1) resource threat, or concern about losing access to outcomes and opportunities; (2) symbolic threat, or concern about the introduction of new values, culture, and expectations; and (3) ingroup morality threat, or concern about their group's role in perpetuating inequality. I review strategies identified by the literature to mitigate these threats, and discuss their potential negative consequences. The final section takes stock of the literature and considers directions for future research.","Iyer, Aarti",,"Department of Psychology, University of Sheffield, Sheffield, UK"
Methodist DeBakey Cardiovascular Journal,2022,6,"Diversity, Equity, Inclusion, and Belonging in Cardiovascular Disease Fellowship Training.","Diversity in the healthcare workforce enhances access to care, reduces health disparities, and improves quality of care for underserved populations. Yet there is a paucity of women and underrepresented minority physicians in cardiology training programs, and progress toward achieving a diverse cardiology workforce has been slow. Here we review the merits of diversity in health care, the current landscape of the cardiology workforce, barriers to increasing the proportion of women and underrepresented minority cardiologists, and specific strategies that have been proposed to sustain and enhance diversity in cardiology training programs.","BALINDA, INGABIRE GRACE","REZA, NOSHEEN","Perelman School of Medicine at the University of Pennsylvania, Philadelphia, Pennsylvania, US"
Utah Law Review,2022,8,"TEACHING CULTURAL COMPETENCE IN LAW SCHOOL CURRICULA: AN ESSENTIAL STEP TO FACILITATE DIVERSITY, EQUITY, & INCLUSION IN THE LEGAL PROFESSION.",,"Taite, Phyllis C.","Boothe, Nicola ""Nicky""",Professor of Law at Oklahoma City University School of Law
AUANews,2023,4,"AUA Science and Quality Council: Updates on Diversity, Equity, and Inclusion Efforts.",,"Nielsen, Matthew",,"Chair, AUA Quality Improvement & Patient Safety Committee"
